provcd,countyid,cid,age,health,minority,stateown,collective,private,foreign,formal,part_time,mwage_atax,bcollar,wcollar,service,week_whours,employ,familysize,BJ,TJ,HeB,ShX,NMG,LN,JN,HLJ,SH,JS,ZJ,AnH,FJ,JX,ShD,HeN,HuB,HuN,GuD,GuX,HaN,ChQ,SiCh,GuZ,YunN,XZ,ShaX,GS,QinH,NinX,XinJ,lnwage,experience,urban,gender,hukou,spouse,edu,military1,party1,evsmoke1,agri_job,gsubsidy,gsubsidy_amount,subsidy,lnsubsidy,lngsubsidy,employ_w,good_job
浙江省,1023,,28,1,0,0,0,1,0,0,1,8000,0,0,1,60,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1,1,0,1,3,0,1,0,0,0,0,0,0,0,1,0
福建省,28,,56,5,0,0,0,0,0,0,0,750,0,0,0,24,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
福建省,28,,36,3,0,0,0,0,0,0,1,6000,0,0,0,70,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0
山东省,67,127200,52,2,0,0,0,0,0,0,0,300,0,0,0,49,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0
山东省,67,127200,53,3,0,0,0,0,0,0,1,1000,0,1,0,49,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,0,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0
广东省,127,218000,27,5,0,0,0,1,0,0,1,5000,1,0,0,112,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,1,1,0,4,0,0,1,0,0,0,6000,6,0,1,0
江西省,13,105000,52,4,0,0,0,0,0,0,1,2000,0,0,0,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0
江西省,13,105000,51,4,0,0,0,0,0,0,1,1500,0,0,0,56,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
山东省,66,795788,41,1,0,0,0,1,0,0,0,10000,0,0,0,105,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,1,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0
山东省,1652,,32,3,0,1,0,0,0,0,1,6000,0,0,0,80,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,1,1,1,1,4,0,1,0,0,0,0,0,0,0,1,0
山东省,1652,,31,3,0,0,0,1,0,0,1,3100,1,0,0,44,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0
河南省,99,,40,3,0,0,0,1,0,0,1,3000,1,0,0,60,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
